,Items,Support,Confidence,Ground-Truth,Ground Truth
0,"{'mikrotik mikrotik', 'CISCO | ROUTER | CRS-1'}",0.002795338235927,0.89041095890411,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
1,"{'mikrotik mikrotik', 'INTEL | ROUTER | RB750GR3'}",0.002795338235927,0.970149253731343,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
2,"{'MIKROTIK | CAMERA | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP', 'mikrotik mikrotik'}",0.002795338235927,0.955882352941176,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
3,"{'mikrotik mikrotik', 'MIKROTIK | CAMERA | SOLUTIONS3G'}",0.002795338235927,0.970149253731343,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
4,"{'mikrotik mikrotik', 'MIKROTIK | CAMERA | WI4SPOT'}",0.002795338235927,0.955882352941176,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
5,"{'mikrotik mikrotik', 'MIKROTIK | CAMERA | WI4TOWER'}",0.002795338235927,0.955882352941176,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
6,"{'mikrotik mikrotik', 'MIKROTIK | GATEWAY | V6'}",0.002795338235927,0.970149253731343,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
7,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | C-5S'}",0.002795338235927,0.955882352941176,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
8,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | CCR1016'}",0.002795338235927,0.844155844155844,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
9,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | CCR1016-12G'}",0.002795338235927,0.915492957746479,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
10,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | CCR1016-12S'}",0.002795338235927,0.955882352941176,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
11,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | CCR1036'}",0.002795338235927,0.942028985507246,MIKROTIK ROUTER,"MikroTik,MikroTik | router,router | "
