,Items,Support,Confidence,Ground Truth
0,"{'IPTIME', '1.3.4d'}",0.004515546381112115,1.0,IPTime | printer | 
62,"{'CAMERA', 'dudic'}",0.006106738915408765,0.993006993006993,MikroTik | router | 
63,"{'ljubomir', 'CAMERA'}",0.006106738915408765,0.993006993006993,MikroTik | router | 
64,"{'m5013', 'CAMERA'}",0.005074614028297424,0.5042735042735044,M5013 PTZ Dome Network Camera | camera | 
65,"{'CAMERA', 'm5014-v'}",0.005461660860964177,0.522633744855967,M5014-V PTZ Dome Network Camera | camera | 
66,"{'CAMERA', 'mk'}",0.010149228056594848,0.5031982942430704,MikroTik | router | 
67,"{'CAMERA', 'oct'}",0.005117619231927063,0.5063829787234042,214 PTZ Network Camera | camera | 
68,"{'p5512-e', 'CAMERA'}",0.005074614028297424,0.5042735042735044,"P5512-E PTZ Dome Network Camera,TM221CE40T | camera,programmable logic controller | "
69,"{'p5522-e', 'CAMERA'}",0.005074614028297424,0.5042735042735044,P5522-E PTZ Dome Network Camera | camera | 
70,"{'p5534', 'CAMERA'}",0.005074614028297424,0.5042735042735044,P5534 PTZ Dome Network Camera | camera | 
71,"{'p5635-e', 'CAMERA'}",0.005074614028297424,0.5042735042735044,P5635-E Mk II PTZ Dome Network Camera | camera | 
72,"{'ptz', 'CAMERA'}",0.06687309164408893,0.5308979173779447,P5635-E Mk II PTZ Dome Network Camera | camera | 
73,"{'ptz', 'CAMERA'}",0.06687309164408893,0.5076722167809337,P5635-E Mk II PTZ Dome Network Camera | camera | 
74,"{'q6044', 'CAMERA'}",0.005074614028297424,0.5042735042735044,Q6044 PTZ Dome Network Camera | camera | 
75,"{'q6044-e', 'CAMERA'}",0.005074614028297424,0.5042735042735044,Q6044-E PTZ Dome Network Camera | camera | 
76,"{'q6045-e', 'CAMERA'}",0.005074614028297424,0.5042735042735044,Q6045-E Mk II PTZ Dome Network Camera | camera | 
77,"{'CAMERA', 'q6115-e'}",0.01057928009289124,0.5146443514644351,Q6115-E PTZ Dome Network Camera | camera | 
78,"{'sep', 'CAMERA'}",0.004343525566593558,0.7163120567375887,211 Network Camera | camera | 
79,"{'axis', 'CAMERADVR4'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
80,"{'camera', 'CAMERADVR4'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
81,"{'ptz', 'CAMERADVR4'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
82,"{'CAMERAS1', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
83,"{'CAMERAS1', 'camera'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
84,"{'CAMERAS1', 'ptz'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
85,"{'CAMERAS2', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
86,"{'camera', 'CAMERAS2'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
87,"{'ptz', 'CAMERAS2'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
88,"{'axis', 'CAMERAS3'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
89,"{'camera', 'CAMERAS3'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
90,"{'ptz', 'CAMERAS3'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
91,"{'CAMERAS4', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
92,"{'camera', 'CAMERAS4'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
