,Items,Support,Confidence
0,"{'samsung-linux/4.1 upnp/1.0 samsung_upnp_sdk/1.0  urn:schemas-upnp-org:service:avtransport:1  uuid:4da59c4c-c8d-bbf98e3181::urn:schemas-upnp-org:service:avtransport:1 bootid.upnp.org', 'APPLE | PHONE'}",0.0019860973187686196,1.0
1,"{'samsung-linux/4.1 upnp/1.0 samsung_upnp_sdk/1.0  urn:schemas-upnp-org:service:avtransport:1  uuid:4da59c4c-c8d-bbf98e3181::urn:schemas-upnp-org:service:avtransport:1 bootid.upnp.org', 'APPLE | PHONE'}",0.0019860973187686196,1.0
2,"{'INTEG | NETWORK', 'microsoft-windows-nt/5.1 upnp/1.0 upnp-device-ho/1.0 urn:schemas-upnp-org:service:connectionmanager:1  uuid:1ed7a411-f40a-4881-afdd9c7adb073::urn:schemas-upnp-org:service:connectionmanager:1 location:http://192.168.10.upnpho/udhisapi.dll?content=uuid:1ed7a411-f40a-4881-afdd9c7adb073 http://schemas.upnp.org/upnp/; ns=01 01-nls:bcb7f59a18a768095825b147f55f39c5 cache-control:max-age=900 server:microsoft-windows-nt/5.1 upnp/1.0 upnp-device-ho/1.0'}",0.0019860973187686196,0.5
3,"{'NEC | PHONE', 'microsoft-windows-nt/5.1 upnp/1.0 upnp-device-ho/1.0 urn:schemas-upnp-org:service:connectionmanager:1  uuid:1ed7a411-f40a-4881-afdd9c7adb073::urn:schemas-upnp-org:service:connectionmanager:1 location:http://192.168.10.upnpho/udhisapi.dll?content=uuid:1ed7a411-f40a-4881-afdd9c7adb073 http://schemas.upnp.org/upnp/; ns=01 01-nls:bcb7f59a18a768095825b147f55f39c5 cache-control:max-age=900 server:microsoft-windows-nt/5.1 upnp/1.0 upnp-device-ho/1.0'}",0.0019860973187686196,0.5
4,"{'SAMSUNG | HUB', 'samsung-linux/4.1 upnp/1.0 samsung_upnp_sdk/1.0  urn:samsung.com:service:multiscreenservice:1  uuid:50a944c-4dfe9c4b1cfff74::urn:samsung.com:service:multiscreenservice:1 bootid.upnp.org'}",0.0029791459781529296,0.5
