,Items,Support,Confidence
52,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB3011UIAS'}",0.002795338235926547,0.8024691358024691
53,"{'MIKROTIK | ROUTER | RB450', 'mikrotik mikrotik'}",0.002795338235926547,0.9027777777777778
54,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB450GX4'}",0.002795338235926547,0.9558823529411764
55,"{'MIKROTIK | ROUTER | RB750GR3', 'mikrotik mikrotik'}",0.002795338235926547,0.8783783783783784
56,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB750R2'}",0.002795338235926547,0.8666666666666667
57,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB911-5HN'}",0.002795338235926547,0.9558823529411764
58,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB911G'}",0.002795338235926547,0.9558823529411764
59,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB951G'}",0.002795338235926547,0.8227848101265822
60,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RB951UI'}",0.002795338235926547,0.7738095238095238
61,"{'MIKROTIK | ROUTER | RBM11G', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
62,"{'MIKROTIK | ROUTER | RBM33G', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
63,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | ROUTER108'}",0.002795338235926547,0.8552631578947368
64,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | ROUTERBOARD-450GX4'}",0.002795338235926547,0.9701492537313432
65,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | RULE6'}",0.002795338235926547,0.9701492537313432
66,"{'MIKROTIK | ROUTER | S-1S', 'mikrotik mikrotik'}",0.002795338235926547,0.8666666666666667
67,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | S-2HND'}",0.002795338235926547,0.8552631578947368
68,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | S-4S'}",0.002795338235926547,0.9701492537313432
69,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | S1'}",0.002795338235926547,0.9701492537313432
70,"{'MIKROTIK | ROUTER | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
71,"{'MIKROTIK | ROUTER | SOCKS4', 'mikrotik mikrotik'}",0.002795338235926547,0.8783783783783784
72,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | SOLUTIONS3G'}",0.002795338235926547,0.9701492537313432
73,"{'MIKROTIK | ROUTER | TCP8', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
74,"{'MIKROTIK | ROUTER | TECHNOLOGYFOUNDED1996HEADQUARTERSLATVIA', 'mikrotik mikrotik'}",0.002795338235926547,0.8666666666666667
75,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | THEMFOLLOW386'}",0.002795338235926547,0.9701492537313432
76,"{'MIKROTIK | ROUTER | U-5HND', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
77,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | US-8'}",0.002795338235926547,0.8552631578947368
78,"{'MIKROTIK | ROUTER | V2', 'mikrotik mikrotik'}",0.002795338235926547,0.8666666666666667
79,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | V2.6'}",0.002795338235926547,0.8666666666666667
80,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | V3'}",0.002795338235926547,0.9154929577464788
81,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | V3.3'}",0.002795338235926547,0.9701492537313432
82,"{'MIKROTIK | ROUTER | V6', 'mikrotik mikrotik'}",0.002795338235926547,0.7222222222222222
83,"{'MIKROTIK | ROUTER | WI4SPOT', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
84,"{'mikrotik mikrotik', 'MIKROTIK | ROUTER | WI4TOWER'}",0.002795338235926547,0.9558823529411764
85,"{'MIKROTIK | SWITCH | C-5S', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
86,"{'MIKROTIK | SWITCH | CCR12G', 'mikrotik mikrotik'}",0.002795338235926547,0.8666666666666667
87,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | CRS109-8G'}",0.002795338235926547,0.8783783783783784
88,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | CRS125-24G'}",0.002795338235926547,0.9285714285714285
89,"{'MIKROTIK | SWITCH | CRS212-1G', 'mikrotik mikrotik'}",0.002795338235926547,0.8904109589041096
90,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | G-16S'}",0.002795338235926547,0.9701492537313432
91,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | G-2S'}",0.002795338235926547,0.9701492537313432
92,"{'MIKROTIK | SWITCH | G-8S', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
93,"{'MIKROTIK | SWITCH | L6', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
94,"{'MIKROTIK | SWITCH | MIKROTIKRB260GS', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
95,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | MIKROTIKRB260GSP'}",0.002795338235926547,0.9701492537313432
96,"{'MIKROTIK | SWITCH | P-4S', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
97,"{'MIKROTIK | SWITCH | RB260GSP', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
98,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | RJ45'}",0.002795338235926547,0.8227848101265822
99,"{'MIKROTIK | SWITCH | ROUTER108', 'mikrotik mikrotik'}",0.002795338235926547,0.8666666666666667
100,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | S-1S'}",0.002795338235926547,0.8904109589041096
